esco_id,job_zone
0022f466-426c-41a4-ac96-a235c945cf97,3
0090dd54-057a-4f65-bbe8-f74c4999e8e8,2
01205776-db8d-4588-a6a6-56d0b9c660a9,4
01989dd8-36c0-43cc-a82d-2bfc409de9c4,4
01d74409-5303-4b5c-8925-0cc21c4da8ee,4
021663ca-a367-472e-a1f0-6d8ab5b2d860,2
02609ece-cea3-43fa-bf38-b6fb821f28b2,4
03632d98-0ae3-4dd2-941c-3b48de9a0219,4
03b55cb5-9735-4582-8e20-2b1cb76635cb,4
0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,2
046574a1-9bb3-4a80-8a7b-83dc7db1dae2,3
04849c5c-9236-4a75-aabb-11c6d03e459c,3
04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,4
0599d0e7-398f-464b-97bb-427686f27d50,3
06461fc3-1274-40a1-9322-dfc2753f5eea,2
066a9d8f-3948-409c-a3cf-ed8ed37cfe22,2
068df7d1-516f-4829-b339-294cb0cf6318,4
070e94a8-a933-4557-9b95-fefe7f4f1763,4
07c2287f-3caa-4128-b7c8-59801084d931,3
080bce18-066b-4431-90ed-e07608f73fe0,2
08edf4c5-3551-4690-9d09-f9b8b9194c90,3
08f5481e-9233-4ef2-9e4b-945224879ce5,3
0917ab6b-18a8-4cfd-8e7a-843b88cf9457,4
094e04fd-3039-4615-850b-b232794f84f5,3
09c2b506-cefa-4ba3-b868-a9c2bc4fc6f1,3
0a3c2d5b-e1f9-4200-9288-62bf3fed3310,2
0b1d8dcb-d941-4d79-99bf-fc10c1806c43,5
0bce6d52-a45e-4826-91ea-68976f1b9d1c,4
0c3672ed-450b-4fcd-a3d0-579a10004486,3
0dce2f9b-eda5-4dc4-ba74-36eeed8c9a44,2
0ec62c2e-30c9-434e-bf36-5277a0840450,3
0f2c04f1-9001-4a77-884f-1ea16949f6f6,3
0f905036-055f-41d9-b292-e3c02617a193,2
0fc6c577-7d5d-4bcd-8ce8-4a4114d6a809,2
10291962-c0c7-4e5b-a7ed-0762b4d9b010,5
1044dedc-81d1-48b6-96b3-ced5393b2de1,4
107d21c6-973b-411c-89fd-69da48d29ada,4
10841c22-0154-48ab-aaca-ce61b9a8e448,3
1209b85e-80f1-490f-a7e1-6ad220bb956d,4
1242d99a-47f1-4a62-b884-33746db8a6ca,4
12dc4509-7d36-46d8-aca0-c147c7ecd806,3
133ab775-f08d-4bc7-8629-89d286180f4e,4
13427968-250b-4967-a682-afac5cd0af4f,2
13e30c08-8834-4e4f-b6f9-89fffed4e310,4
15419750-d6e6-4ab8-a77b-b42794f2e168,3
15ab8475-549d-48a7-9d4a-5bb310015312,1
15cc27b1-7358-48ed-9fb8-69ffe9f1fc98,3
1619d7f3-7d95-407c-a20e-47745bfcde73,4
16605833-c196-48d7-a6f5-bbdebdc353df,4
1765f9b2-8483-490d-8df6-6e39db30ad82,3
17abb59e-a1f9-4ce8-88b7-569e5413dca9,2
17c02096-05d6-4a5a-ba93-9f22d68df0d3,3
17e39591-7137-4960-94c8-8169f7a5d67b,4
183d60f2-277f-47c8-a8c6-f5c8eedba2b0,2
186ef31e-f26f-4320-a307-c5f95d6cb284,4
18d2b37a-9c31-4393-833e-bc2f7b1ce52a,4
190ec9a5-938c-45a5-bd9c-c12b1af33353,5
1999bdfa-f9c4-4a0b-8565-0305108ca65e,2
1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4,4
1bb7c072-38c8-430a-b943-76bfa312a5f4,1
1c36dd08-f6a7-43f2-a889-beebedb71c25,4
1c85eee2-a8ca-4750-a889-10a3e6c17b80,4
1ce76c3b-edee-41b4-88c2-5db9b70d8bf0,3
1d70e660-1114-41c6-926a-053541460d88,3
1da55a33-09b3-4ac7-818e-2a0fea68cecc,4
1de91afd-9da2-47ab-a7e7-19bf931709a4,4
1f13d8c3-f601-4d3b-adc8-c8d52e0c15d5,1
1f958638-066f-470c-9549-a9070ba280a6,4
1f97f6e6-0ac7-4e77-88ab-2e3801c5a223,4
1fb92021-9576-4c85-8759-f6918e9f0ad4,5
1fce1be0-bf52-449b-9a2b-3f2cc710290a,4
1ff61522-8947-4c95-b589-cb0e0539a62b,4
20786e6d-36f0-4d1e-b033-05101fa71f3c,3
2079755f-d809-49e6-8037-4de6180e54c0,4
20e39113-05f5-4184-94e2-f5e8e8c8d2ea,4
21ae429f-a152-46a6-a73c-9ec65c7803f0,3
